V3,type,merge,site,temperature,PDE,ARG,VF,CAZY,Organic carbon oxidation,Carbon fixation,Fermentation,Nitrogen fixation,Denitrification,Nitrite ammonification,Sulur oxidation,Sulfur reduction
Winter.A0.MP,MP,mp1,A0,18,559659.3292,3127648.989,299710.1101,1035651.802,391299.4286,1067.797888,15162.98147,48.02796888,30681.44655,4921.260761,13784.9687,8209.2155
Winter.B0.MP,MP,mp1,B0,20.8,652287.3481,3091741.738,1114848.118,658377.5973,373306.1503,181.5684579,27723.74642,5.86981385,12232.73079,19429.89256,54298.29487,149.8754732
Winter.C1.MP,MP,mp1,C1,21,435446.2499,3703200.146,674886.0689,1072355.09,453270.8329,79.09598248,20437.1156,8.4545383,32236.98058,17584.30787,25510.48464,27.41428246
Winter.C2.MP,MP,mp1,C2,18.8,389208.9262,2801235.951,1025030.49,742066.8231,288592.525,583.9553531,19943.66228,41.5092678,8166.778613,33738.8432,26074.20881,445.7966982
Winter.D1.MP,MP,mp1,D1,21.1,323336.0345,1753636.936,131083.177,539272.0915,166265.2678,5086.890383,16033.74413,240.7165113,9608.948261,12256.92246,40951.0962,936.2613337
Winter.D2.MP,MP,mp1,D2,20.1,439930.1923,3021900.421,735243.352,755922.5385,267538.0438,264.5434344,34446.93994,320.2910201,27609.29745,23376.24334,37688.18482,2264.595454
Winter.E0.MP,MP,mp1,E0,20.5,558593.9098,3525292.768,2199359.681,611398.8967,451876.4629,33.73326561,42620.13474,32.17474253,28806.10312,40726.24895,24536.23042,14.0482771
Winter.F1.MP,MP,mp1,F1,18.8,371188.7926,2235454.365,1040152.03,643252.4465,271478.4924,944.0355038,49319.56816,68.63813206,18173.23411,13864.72739,17718.76764,153.3731145
Winter.F2.MP,MP,mp1,F2,20.1,595847.3798,3720111.895,1348187.822,1225225.564,432200.4237,1228.637407,22059.79389,11.2120676,9391.527331,14141.23218,25231.14063,76.7324415
Winter.F3.MP,MP,mp1,F3,18.9,600795.3899,3842897.994,1862753.856,622637.7354,409728.1278,10.12363121,42242.33444,151.3652375,19709.19574,50114.29709,34809.14816,16.228086
Winter.G1.MP,MP,mp1,G1,21.5,430053.4326,3673752.632,1193882.009,1005271.462,390740.6325,102.9005961,34259.62374,8.1022626,51793.69623,65445.9294,39017.46745,28.34427863
Winter.G2.MP,MP,mp1,G2,21.3,578320.32,3552051.285,2122989.162,618903.8377,461092.2598,49.38114545,41473.91929,30.26492764,30759.67213,40185.81006,25859.25977,14.41353167
Winter.H0.MP,MP,mp1,H0,23,569841.6229,3936443.386,2456012.003,583435.0834,469465.7047,5.934639216,53491.16895,75.9785755,11495.0352,27679.57082,16636.78956,133.69532
Winter.I0.MP,MP,mp1,I0,19.4,468843.3583,3181181.716,1218165.803,817078.8272,417339.0731,14956.15678,18213.47301,7.35294982,5121.172849,20744.11849,26612.12486,1029.781669
Winter.J0.MP,MP,mp1,J0,19,478960.0071,3478129.704,535393.5659,853233.948,397404.3354,121.9654261,43145.5123,8.118154,39850.62582,41514.76761,57104.7795,76.40256078
Spring.A0.MP,MP,mp2,A0,28.4,449368.4487,2650714.292,561818.6989,914249.0316,501760.5553,2705.470366,42335.26384,121.4023357,38344.40904,15838.23373,12677.24415,245.7422562
Spring.B0.MP,MP,mp2,B0,23.4,437160.5013,2663720.797,1508753.857,877869.8752,405363.5433,1104.856141,36295.51192,144.2349904,9746.106142,33598.46379,45985.7719,282.0871301
Spring.C1.MP,MP,mp2,C1,23.7,358980.8002,3076004.786,903753.3648,817498.4766,340455.2152,79.23312923,21745.44526,59.1049857,77752.60397,31670.35552,19115.61673,13.06819217
Spring.C2.MP,MP,mp2,C2,23.8,377260.1283,2540268.723,905644.7963,808703.3996,334677.1416,5127.918735,29235.02527,46.6306352,30766.44436,23628.79209,21598.85121,511.2309586
Spring.D1.MP,MP,mp2,D1,25,716388.6157,3419910.128,2005192.392,650211.5215,461922.8808,492.4557891,38875.95773,53.82812327,25719.05088,32075.39981,23123.17763,14.3140775
Spring.D2.MP,MP,mp2,D2,25,487476.557,2886245.481,1771928.134,680891.2771,338705.4722,4537.782472,43736.05179,71.76651386,10079.26669,25320.46968,19834.04633,102.9533804
Spring.E0.MP,MP,mp2,E0,29.4,481899.1083,2777341.163,1229467.922,947283.5954,457563.8848,52.74205233,64291.19993,1053.912174,55361.87788,65420.281,29907.69691,101.622184
Spring.F1.MP,MP,mp2,F1,24.5,415127.3971,2122375.14,1199636.995,714741.5568,286276.9031,1331.708036,23059.24482,125398.7206,18574.00976,16339.53291,43279.5888,281.0855968
Spring.F2.MP,MP,mp2,F2,25.5,588126.0977,3123958.067,1732548.623,775933.135,369916.9037,3781.676223,32827.93476,129.821966,4028.428015,22142.32771,27496.61058,534.2200344
Spring.F3.MP,MP,mp2,F3,24.9,164138.0825,939034.4301,710829.4252,257099.3827,115628.1132,71661.95421,13331.4709,83.47508065,1638.354535,8919.188519,8191.126906,19.71416272
Spring.G1.MP,MP,mp2,G1,28.6,607117.119,4367770.142,1132035.729,1098271.054,574616.9323,168.727053,34100.52166,0,12186.10329,7684.373076,35597.19874,154.7641183
Spring.G2.MP,MP,mp2,G2,27.4,404796.4348,2236020.971,1015630.462,803022.3777,346327.3806,860.5341625,19805.81285,32.4313021,7658.302801,10196.50885,63833.77306,2250.336116
Spring.H0.MP,MP,mp2,H0,28.7,535801.3298,3400507.674,1111040.912,761859.215,441522.9733,1120.766211,59047.88754,44.5951837,36364.45558,26748.52815,32290.89626,134.1056306
Spring.I0.MP,MP,mp2,I0,29,359976.6407,2596842.6,424380.6125,825953.1229,373660.8301,7690.319436,16292.84119,17.4916525,17872.28062,17684.31743,34948.69225,130.8642042
Spring.J0.MP,MP,mp2,J0,27.7,505383.1815,3285276.263,937541.1955,888853.8231,457139.883,399.7406351,32964.70813,39.587935,42471.11607,53166.0039,17717.12359,10.80010388
Summer.A0.MP,MP,mp3,A0,29.4,937583.3499,3164438.274,1230334.748,1436593.854,868357.9498,1062.386348,63466.64779,32.67201696,76750.45697,3140.306781,20996.9626,275.0695147
Summer.B0.MP,MP,mp3,B0,30.4,406738.6895,1414783.701,379941.6938,1280145.699,550653.6076,3945.979801,9176.562487,19.0826447,23046.01936,6486.41618,47511.7883,202.445521
Summer.C1.MP,MP,mp3,C1,30,432866.3611,2005203.509,751837.9055,818277.7394,338083.7846,5498.955371,22081.11377,16018.38552,65455.45503,20415.15714,36026.26735,548.0566723
Summer.C2.MP,MP,mp3,C2,28.4,295117.0056,1916832.984,532405.4878,1123417.044,307334.039,4108.844358,39926.81427,35.6063756,26827.41425,6677.273146,23095.95188,620.4762136
Summer.D1.MP,MP,mp3,D1,29.7,93914.53655,1845904.65,989289.2434,1045197.66,179002.6814,226.6280295,27593.97696,81.71120549,24836.24253,4054.292412,2601.641689,32.29032293
Summer.D2.MP,MP,mp3,D2,30,357806.7234,2267270.525,870814.8433,759065.7572,325210.4293,838.3329131,29613.29056,273.9214756,54313.10105,38321.12446,37891.45779,113.1415883
Summer.E0.MP,MP,mp3,E0,29.5,80550.8262,1017369.084,617011.4796,1228793.074,105309.1893,91.27740479,29710.52411,51.7211403,19490.72358,1773.865391,1209.828239,6.105038776
Summer.F1.MP,MP,mp3,F1,28.1,325684.6464,1124716.076,293057.2369,726029.4625,311147.3443,13009.54155,21538.81288,125.781064,15740.91545,5201.827507,29147.21524,362.8789114
Summer.F2.MP,MP,mp3,F2,30.1,271713.8737,1455579.017,266693.1465,1014517.027,429572.3236,2779.376097,18262.08646,21.3342617,23976.81478,13307.75336,7355.441821,156.3388888
Summer.F3.MP,MP,mp3,F3,29.6,441533.9493,1261418.773,899211.0178,1149274.097,387411.8455,1489.787952,36013.66133,21.6293016,28804.25433,11808.31506,30682.82732,9.95259664
Summer.G1.MP,MP,mp3,G1,31.2,625359.3911,2054801.763,577758.7279,1266261.043,521561.8959,701.6172574,29018.84816,0.90244935,24879.05518,22575.98343,24482.68946,30.5545047
Summer.G2.MP,MP,mp3,G2,31.1,403310.6355,1597488.836,485959.4479,843869.1851,330345.0169,5775.677427,30689.7517,43.00764488,32788.99814,13623.31326,35344.56639,1178.155357
