sample,type,season,merge,site,Rainfall,Temperature,Turbidity,Salinity,pH,TN,TP,COD,totalMP,SO2,DO,velocity,lifestyle,Richness,Gini_simpson,Evenness,indicator.ratio,total.ratio,indicator.rb
1,MP,1.feb,mp1,A0,0.2,18,1.8,0,7.7,1.1,0,4,0.6,10.7,8.6,0,lytic,999,0.977742893,0.677614225,0.842966768,0.912438196,62186.5301
2,MP,1.feb,mp1,B0,0.2,20.8,6,0.5,7.9,4.6,1.1,26,1.4,71.1,2.8,0,lytic,818,0.986046684,0.750157166,0.614193476,0.892243616,178353.2269
3,MP,1.feb,mp1,C1,0,21,5.2,0.2,7.9,3.7,1,19,0.9,21.8,7.1,0,lytic,763,0.966302797,0.663005741,1.075743706,1.068652029,137063.5984
4,MP,1.feb,mp1,C2,0,18.8,2.7,24.1,8.2,3.5,0.2,24,1.2,72.4,4.4,0.4,lytic,1047,0.990878613,0.784291917,0.492541617,1.124357771,120388.5346
5,MP,1.feb,mp1,D1,0.2,21.1,4.9,0.4,7.6,4.6,0.7,30,0.9,31.7,6.9,0.7,lytic,975,0.971749287,0.665446005,0.387038116,1.009910941,12320.54274
6,MP,1.feb,mp1,D2,0.2,20.1,17.3,0.5,7.3,3.7,0.7,26,2,31.6,3.7,0.1,lytic,1272,0.976875048,0.738794233,0.370481654,1.10334316,101664.8161
7,MP,1.feb,mp1,E0,0,20.5,6.1,0.1,7.5,1.2,0.2,30,2.5,9,6.7,0,lytic,815,0.985550414,0.742958274,1.078217293,0.977070624,291182.7289
8,MP,1.feb,mp1,F1,0,18.8,0.8,0,7.4,1.8,0,10,3.4,117,7.5,0.1,lytic,1117,0.990166256,0.779035472,0.339370218,1.161132313,76338.11957
9,MP,1.feb,mp1,F2,0,20.1,0.6,0.1,7.3,2,0.1,19,1.7,9.4,9,0.6,lytic,878,0.973151515,0.699221517,1.038950452,1.234858315,150506.2505
10,MP,1.feb,mp1,F3,0,18.9,3.1,13.6,7.1,2,0.2,44,5.3,8.9,5.3,0,lytic,638,0.983747998,0.74124663,0.550292919,0.933320135,228196.6816
11,MP,1.feb,mp1,G1,0,21.5,2.4,24.2,8,2.7,0,12,2.5,72.3,6.6,0,lytic,729,0.968288208,0.674010448,1.046269343,1.123064215,76007.52587
12,MP,1.feb,mp1,G2,0,21.3,2.4,10.6,7.8,1.2,1.1,51,3.7,44.2,5.8,0,lytic,843,0.986296311,0.746213701,1.104627575,0.989279546,288526.4774
13,MP,1.feb,mp1,H0,0.1,23,4.3,9.6,7.3,6.4,1.4,31,8.1,113,7.2,0.3,lytic,645,0.979166332,0.740640661,0.947733351,1.14022048,306764.4061
14,MP,1.feb,mp1,I0,0.1,19.4,2.2,2.7,7.7,1.2,0.1,26,1.8,92,9.8,0.1,lytic,797,0.969185087,0.696207159,0.447032216,0.963815327,144610.3082
15,MP,1.feb,mp1,J0,0.1,19,0.6,0.1,8.6,0.8,0.1,6,1.1,11.2,10,0.3,lytic,646,0.982036784,0.745124102,0.57261335,0.951865298,59126.20774
16,MP,2.may,mp2,A0,7.6,28.4,3,0.1,7.4,1.2,0,5,0.6,9.4,6.7,0.2,lytic,1124,0.975996561,0.680617079,2.307433407,1.552962141,379537.2387
17,MP,2.may,mp2,B0,7.6,23.4,54,0.1,8.1,4.5,0.2,14,1.3,45.9,7.5,0,lytic,1167,0.991286773,0.789908471,0.879678166,1.325634075,191083.981
18,MP,2.may,mp2,C1,0.2,23.7,64.7,0.1,9.9,3.9,0.2,24,2.9,22.9,8,0.3,lytic,750,0.958537005,0.620247172,1.828134586,0.950678217,404917.2535
19,MP,2.may,mp2,C2,0.2,23.8,4.2,18.3,7.7,3.7,0.3,9,1.4,109,5.2,0,lytic,1387,0.989025852,0.756205519,1.49867667,1.375814255,289599.8287
20,MP,2.may,mp2,D1,7.6,25,2.5,0.2,7.5,4.6,0.3,24,1.1,72,7,0.7,lytic,914,0.986518729,0.755689604,0.843297853,1.097640228,165750.2295
21,MP,2.may,mp2,D2,7.6,25,9.4,1.1,7.3,3.8,0.3,14,1.5,31.7,1.9,0.2,lytic,1225,0.988277469,0.751649821,1.125714521,1.270569071,289700.7487
22,MP,2.may,mp2,E0,3.3,29.4,6.3,0.1,7.5,1.4,0.1,18,1.9,11.7,5.7,0.1,lytic,825,0.979020624,0.719237915,1.510641577,1.186939236,223693.8067
23,MP,2.may,mp2,F1,3.3,24.5,1.1,0,7.7,1.9,0,10,1.3,9,8.4,0.1,lytic,928,0.988849357,0.764187043,0.770079914,1.257768796,112406.5789
24,MP,2.may,mp2,F2,3.3,25.5,2.2,0.1,7.5,2.1,0.1,12,0.6,10.6,8,1,lytic,1115,0.97824328,0.7269323,0.641123888,0.932401699,186315.6841
25,MP,2.may,mp2,F3,3.3,24.9,1.9,13,7.3,1.9,0.1,39,1,114,4.1,0.2,lytic,777,0.949748131,0.582001301,0.769603426,2.163587011,64010.99628
26,MP,2.may,mp2,G1,0.2,28.6,2.5,24,8,3,0,12,3.5,9,7.1,0.1,lytic,462,0.984325452,0.763466211,0.948903869,1.285330158,39038.35181
27,MP,2.may,mp2,G2,0.2,27.4,4.4,11.6,7.6,2,0.1,11,2.5,152,5.7,0,lytic,857,0.97718749,0.716265721,0.587313959,0.849795203,133959.1684
28,MP,2.may,mp2,H0,13.1,28.7,3,7.7,7.3,6.3,0.7,46,0.7,727,7.1,0.4,lytic,1130,0.989997992,0.767646576,2.011756647,1.41316289,408980.9979
29,MP,2.may,mp2,I0,13.1,29,2,5.1,7.7,1.3,0.1,26,2,714,8.1,0,lytic,1005,0.978374782,0.675413362,1.894330444,1.606349064,618665.6778
30,MP,2.may,mp2,J0,0.2,27.7,1.2,0.1,7.4,1.1,0.1,9,0.8,11.3,7.4,0.4,lytic,905,0.985083123,0.724843,1.849152181,1.314137697,514219.3415
31,MP,3.Aug,mp3,A0,0.5,29.4,9.5,0,7.6,1.4,0,5,0.7,8.3,7.6,0,lytic,717,0.964857018,0.634266125,3.059005895,2.737572403,771622.8915
32,MP,3.Aug,mp3,B0,0.5,30.4,7.5,0.2,7.6,6.1,0.2,12,0.6,27.3,7,0,lytic,915,0.948693429,0.617890201,2.268547989,1.623559422,690797.7468
33,MP,3.Aug,mp3,C1,2.5,30,17.5,0.1,9.5,2.3,0.2,16,1.2,12.9,6.8,0.4,lytic,1140,0.982779232,0.747289477,0.974823873,1.513693502,192747.5516
34,MP,3.Aug,mp3,C2,2.5,28.4,4,11.5,7.4,2,0,17,0.7,134,5.4,0,lytic,1231,0.988072948,0.776561066,1.40892817,1.45710764,551703.1024
35,MP,3.Aug,mp3,D1,25.8,29.7,1.8,0.4,7.2,5.1,0.4,17,0.5,47.2,3.7,0.6,lytic,561,0.967773433,0.671460904,1.149440465,1.106278496,812149.1511
36,MP,3.Aug,mp3,D2,25.8,30,20.9,0.5,7.2,2.7,0.2,11,2.2,12.5,3.2,0.9,lytic,1283,0.896688389,0.59849346,0.991634274,0.666146642,43924.0792
37,MP,3.Aug,mp3,E0,15.5,29.5,69.3,0.1,7.3,1.6,0,14,0.7,15.3,6.8,0,lytic,376,0.943817612,0.664611309,1.161335376,1.16375047,853545.9138
38,MP,3.Aug,mp3,F1,15.5,28.1,1.3,0,7.4,3.3,0,5,2.7,8,8,0.2,lytic,1269,0.984775383,0.727260811,2.020383058,1.643970976,201921.3004
39,MP,3.Aug,mp3,F2,15.5,30.1,1.7,0,7.4,1.6,0,6,0.6,14.2,7.9,1,lytic,989,0.939384645,0.567285364,1.140284363,1.219684367,389486.8659
40,MP,3.Aug,mp3,F3,15.5,29.6,1.4,16.2,7.4,2.3,0,8,1.5,125,5.2,0.2,lytic,1029,0.988826887,0.756200731,1.134945846,1.238545218,411937.4507
41,MP,3.Aug,mp3,G1,0,31.2,2.7,31.6,7.9,2,0.1,21,1.8,154,5.9,0.1,lytic,1191,0.986738309,0.730242913,1.545337249,1.441244739,373711.5622
42,MP,3.Aug,mp3,G2,0,31.1,1.7,23.7,7.7,2.1,0.1,21,1.2,135,5.2,0,lytic,1358,0.990484261,0.684211892,1.214908466,1.392262127,21321.04061
43,MP,3.Aug,mp3,H0,0.9,31.9,3.7,8.7,7.3,4.9,0.6,29,4.5,615,6.9,0.3,lytic,581,0.942760737,0.623001261,1.03348154,1.037636209,737038.4026
44,MP,3.Aug,mp3,I0,0.9,29.2,28.2,0.1,7.8,1.8,0,4,1.7,521,7.3,0,lytic,680,0.96172515,0.629330223,1.896190754,1.988439294,775984.8436
45,MP,3.Aug,mp3,J0,2.5,29.2,1.6,0.1,7.4,1.5,0,9,0.7,8.8,7.3,0.3,lytic,1057,0.930527693,0.611780585,0.459561764,0.853922332,444025.1858
46,MP,4.nov,mp4,A0,0,28.2,2.3,0,7.6,0.7,0,5,0.9,9,9.4,0.2,lytic,609,0.909235527,0.5097949,0.376314962,1.152346891,55540.43417
47,MP,4.nov,mp4,B0,0,28.4,5.2,0.4,7.7,3.4,0.2,10,1.5,32.9,8.3,0.3,lytic,1234,0.985946186,0.739876774,1.556128476,1.135816386,245410.0533
48,MP,4.nov,mp4,C1,0,25.3,9.5,0.1,10.6,2.2,0.2,23,1,13.6,6.9,1,lytic,811,0.977635873,0.694060347,1.010669222,1.312113142,238448.9525
49,MP,4.nov,mp4,C2,0,24.7,2.2,19,7.2,2.5,0,14,0.5,167,5.2,0.1,lytic,1091,0.979719385,0.688205496,1.042863926,1.123841716,135565.3509
50,MP,4.nov,mp4,D1,0,27,2.6,0.3,7.5,9.4,0.7,38,0.4,51.7,7.3,0.6,lytic,864,0.953124074,0.629904017,1.917368391,0.978918799,262452.667
51,MP,4.nov,mp4,D2,0,26.7,12.4,1.4,7.2,4.9,0.3,12,0.3,120,2.8,0.1,lytic,712,0.930222377,0.554813505,0.677797385,0.941299827,72064.1137
52,MP,4.nov,mp4,E0,0,27.6,5.5,0.1,7.3,9,1.1,8,0.8,54.2,7.5,0.1,lytic,940,0.983455907,0.703701502,0.604498053,1.168851765,114490.3549
53,MP,4.nov,mp4,F1,0,24.4,1.5,0,7.1,0.5,0,5,1.1,8.6,8.4,0.1,lytic,915,0.969117507,0.660459036,1.448255961,1.721381581,451504.3408
54,MP,4.nov,mp4,F2,0,26.3,5.9,0,7.3,0.7,0,4,0.4,9.7,8.3,2.2,lytic,1003,0.975651471,0.647685917,0.73514441,1.181035352,68342.98914
