Virus,taxonomy,vir.class,Host genome,Host taxonomy,Main method,Confidence score,Additional methods,d,p,c,o,f,g,s,lifestyle
A_S10C10817,Caudoviricetes_unclassified_family,Caudoviricetes,M-TC2-nonMP.2.rename,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__,iPHoP-RF,87.9,None,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__,virulent
A_S10C11210,Caudoviricetes_unclassified_family,Caudoviricetes,M-PR7-MP.7.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__,iPHoP-RF,75.9,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,temperate
A_S10C11210,Caudoviricetes_unclassified_family,Caudoviricetes,A-YL2-MP.2.semibin.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__,iPHoP-RF,75,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,temperate
A_S10C11210,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12I-MP.17.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__,iPHoP-RF,75,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,temperate
A_S10C150,Rountreeviridae,Caudoviricetes,S-IN2-MP.36.semibin.rename,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_G;s__,iPHoP-RF,96.7,None,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus_G,s__,virulent
A_S10C150,Rountreeviridae,Caudoviricetes,S-IN2-MP.13.semibin.rename,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_G;s__,iPHoP-RF,93.1,None,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus_G,s__,virulent
A_S10C150,Rountreeviridae,Caudoviricetes,S-KN5-MP.26.rename,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_F;s__,iPHoP-RF,90.8,None,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus_F,s__,virulent
A_S10C150,Rountreeviridae,Caudoviricetes,A-YL2-MP.12.semibin.rename,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__,iPHoP-RF,87.9,None,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus_D,s__,virulent
A_S10C150,Rountreeviridae,Caudoviricetes,S-KN5-MP.20.rename,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_C;s__,iPHoP-RF,87.9,None,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus_C,s__,virulent
A_S10C150,Rountreeviridae,Caudoviricetes,S-KN5-MP.10.rename,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__,iPHoP-RF,80.6,None,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__,virulent
A_S10C19004,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12I-nonMP.8.rename,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__,iPHoP-RF,89.2,None,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__,temperate
A_S10C19004,Caudoviricetes_unclassified_family,Caudoviricetes,M-DB2-MP.4.rename,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Isoptericola;s__,iPHoP-RF,86.3,None,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae,g__Isoptericola,s__,temperate
A_S10C19004,Caudoviricetes_unclassified_family,Caudoviricetes,S-TN2-MP.6.rename,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__,iPHoP-RF,83.9,None,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__,s__,temperate
A_S10C19004,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12I-nonMP.13.rename,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__,iPHoP-RF,82.2,None,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae,g__Cellulomonas,s__,temperate
A_S10C19004,Caudoviricetes_unclassified_family,Caudoviricetes,M-DB2-nonMP.1.rename,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__,iPHoP-RF,81.1,None,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae,g__Cellulomonas,s__,temperate
A_S10C19004,Caudoviricetes_unclassified_family,Caudoviricetes,M-TC2-nonMP.2.rename,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__,iPHoP-RF,79,None,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__,temperate
A_S10C19004,Caudoviricetes_unclassified_family,Caudoviricetes,M-YL2-MP.8.rename,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__;s__,iPHoP-RF,78,None,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae,g__,s__,temperate
